dataset,k,alpha,method,cost,cost_dev,time,time_dev
mnist,20,0.4,Det,1132545.9921876807,0.0,0.06297402381896973,0.0045018997491827785
mnist,20,0.4,Ours,1148677.4344034288,4598.97140415162,0.06435046195983887,0.004213774377042983
mnist,20,0.4,Ours1,1064050.0777050904,9799.194095916499,0.019185471534729003,0.0015717294123801916
mnist,20,0.4,Ours2,1162662.9885932489,3669.047758708419,1.6554668188095092,0.1081195636768993
mnist,20,0.4,OPT,971849.3281454733,0,0,0
mnist,20,0.5,kmeans++,1544737.2,0,0,0
mnist,20,0.5,Algo1,1292452.1378250287,5014.596650876345,0.09071261882781982,0.0035571331482364284
mnist,20,0.5,Det,1219875.6146922852,0.0,0.06179122924804688,0.0027307811603208966
mnist,20,0.5,Ours,1247862.9795555284,6036.939178656505,0.06390872001647949,0.0018002425827772577
mnist,20,0.5,Ours1,1138171.435407885,15420.483429320058,0.018387317657470703,0.0009449194490720584
mnist,20,0.5,Ours2,1271369.216361742,8305.17902683519,1.6746246576309205,0.062184514565147876
mnist,20,0.5,OPT,958648.6176920802,0,0,0
phy,20,0.1,kmeans++,424042244361.77185,0,0,0
phy,20,0.1,Algo1,302948390501.35803,29878385.070483375,1.8271128177642821,0.030979093107570972
phy,20,0.1,Det,302432823655.6115,6.103515625e-05,1.7190548181533813,0.020778160437240626
phy,20,0.1,Ours,307077169800.9067,2761634200.715881,1.727051591873169,0.020339996184675527
phy,20,0.1,Ours1,300584994604.77216,24078425.363927808,0.518996787071228,0.012739002511068761
phy,20,0.1,Ours2,303119892646.51184,81745660.51424272,4.414570331573486,0.08753640901031633
phy,20,0.1,OPT,300279010485.48114,0,0,0
phy,20,0.2,kmeans++,429599661450.2149,0,0,0
phy,20,0.2,Algo1,302591257875.8846,139196242.81999043,1.8987048864364624,0.05508304162083423
phy,20,0.2,Det,299495004026.3941,0.0,1.7722864151000977,0.045013243372285044
phy,20,0.2,Ours,317247317036.89,7798713302.566006,1.7693570852279663,0.03762201488145855
phy,20,0.2,Ours1,292956917581.1063,127853777.8589901,0.5445125579833985,0.02378165733785856
phy,20,0.2,Ours2,298474577554.2623,268414124.70778018,4.475796175003052,0.1113494244995752
phy,20,0.2,OPT,291378643144.70056,0,0,0
phy,20,0.3,kmeans++,441001013697.2098,0,0,0
