dataset,k,alpha,method,cost,cost_dev,time,time_dev,nmi,nmi_dev,ari,ari_dev
mnist,30,0.2,Ours,891096.5855711345,1707.4886868509727,0.08214993476867676,0.0029864975147429022,0.9606504470622653,0.005467786859633132,0.9445119449850787,0.009637358110140826
mnist,30,0.2,Ours1,862222.4691751931,2005.194368281919,0.026378321647644042,0.0010176931668039802,0.962958883370562,0.0107595017373426,0.9471241228675801,0.017974572438237656
mnist,30,0.2,Ours2,893967.1650101598,1139.154048681925,2.410550022125244,0.05717474600844984,0.9616367486978576,0.004917381543438355,0.9470716518553692,0.007091183020798435
mnist,30,0.2,OPT,843917.0358965229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,40,0.2,kmeans++,1205568.0,16234.495267793205,0.017392969131469725,0.0007978380581149067,0.7268934586213202,0.008347340178749421,0.4354998631211739,0.022839209663333096
mnist,40,0.2,Algo1,841646.7054602295,1927.5285557324962,0.14525015354156495,0.007951281851382806,0.9525999482086837,0.003443226479074936,0.9211707782413707,0.006608271347409595
mnist,40,0.2,Det,814407.5182347121,0.0,0.08912878036499024,0.005238985445419326,0.9685608686889886,1.1102230246251565e-16,0.9480318124201442,1.1102230246251565e-16
mnist,40,0.2,Ours,820211.7237470852,887.1996785584834,0.0964270830154419,0.005518632305608098,0.9645176525212401,0.0025756058209311125,0.9432198958500487,0.0043320233492799565
mnist,40,0.2,Ours1,789471.6809630545,2295.8678229374295,0.032450318336486816,0.0030789486543285486,0.9588460319786345,0.007895445770694945,0.9281564864628897,0.01620412716138885
mnist,40,0.2,Ours2,822675.95556107,838.6589555055958,3.1821706295013428,0.22716010875816234,0.9619237274824105,0.0035778726912599206,0.9391088971301217,0.00682387725112383
mnist,40,0.2,OPT,772509.115885641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,50,0.2,kmeans++,1120815.9,11550.560933997967,0.021058011054992675,0.001145246194924193,0.7410534929752982,0.010423582596412458,0.43982238491216546,0.020216352918943213
mnist,50,0.2,Algo1,800093.1783053977,3076.255855750374,0.16518278121948243,0.006776961447497987,0.9431190016845745,0.004113121275325875,0.9009300096165486,0.007426778344569968
mnist,50,0.2,Det,766562.8618016436,0.0,0.0997406005859375,0.005079745988067876,0.9545317412252963,2.220446049250313e-16,0.923565541134,1.1102230246251565e-16
mnist,50,0.2,Ours,772679.2959657982,1073.2722665839065,0.10804405212402343,0.0038404647430869115,0.9585514738613542,0.004633932760100167,0.9292099899741924,0.00871693246532896
mnist,50,0.2,Ours1,741559.9299326368,2430.613704786874,0.03958597183227539,0.0017479040303993157,0.9520501626482402,0.006467214892503032,0.909633211766381,0.014256639602595758
mnist,50,0.2,Ours2,775000.8371593021,799.1638372091974,3.775067353248596,0.10447587776047723,0.9576902272379078,0.0023031154345028956,0.9281832736806199,0.004672890304691495
mnist,50,0.2,OPT,718776.2642637921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phy,10,0.2,kmeans++,1408722780078.8042,100153359738.85448,0.06567087173461914,0.005633891272414417,0.798966995696218,0.03391970943903997,0.6594500077753505,0.06194233422181224
phy,10,0.2,Algo1,1053920973636.9984,4156652227.930196,1.9420329332351685,0.035904265021360904,0.9733588367145396,0.006328551357291445,0.9689860736597442,0.011662720843704651
phy,10,0.2,Det,1040313176533.5033,0.0001220703125,1.98191180229187,0.044484438481430015,0.9798926244096681,0.0,0.9804206486714172,0.0
phy,10,0.2,Ours,1078869420110.6367,13673404696.76432,1.9698748588562012,0.03982678610724234,0.9431648929192628,0.007534970756807638,0.9271608713575942,0.008813341654413161
phy,10,0.2,Ours1,1040825202344.2809,2184146541.5070634,0.5882317066192627,0.016894155978014056,0.9747806061884704,0.010636079635718675,0.9725879916296668,0.01584889093487727
phy,10,0.2,Ours2,1051358131267.8567,6459497936.790313,3.114537262916565,0.09329162468789134,0.963368646195026,0.008989562028354688,0.9585318671234433,0.012106869999285782
phy,10,0.2,OPT,1031074727227.9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phy,20,0.2,kmeans++,425118468045.94055,13363210550.893568,0.10056099891662598,0.003263976265934652,0.8496668383181492,0.018150262265488958,0.6706220391205562,0.04750243197967688
phy,20,0.2,Algo1,310603459929.4313,283486869.7085079,1.9644305467605592,0.03134178056215407,0.9820044170117772,0.0029382412911831135,0.9766243902032199,0.00448518943064283
phy,20,0.2,Det,307488522001.6807,0.0,1.8589892625808715,0.03213882471836816,0.9868838942695655,1.1102230246251565e-16,0.9854927528727819,0.0
phy,20,0.2,Ours,322441737300.21765,6658457906.8868,1.861850905418396,0.02424682583538402,0.9491448386738934,0.011313153225922076,0.9193435479905924,0.022521373294056055
phy,20,0.2,Ours1,301166660200.1263,154560783.34936985,0.5893871068954468,0.011683272421588654,0.9779207723334793,0.0029393712903981383,0.9697329031615831,0.004792221323044818
phy,20,0.2,Ours2,306554979338.4242,402014483.09600145,4.677615427970887,0.04813107915470348,0.9755788537398129,0.00462673503497407,0.9681459791829802,0.008052551724029411
phy,20,0.2,OPT,299470901337.2526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phy,30,0.2,kmeans++,242291758837.2041,10693938088.795774,0.15387864112854005,0.005778629214350684,0.8522286775033882,0.014106013351390006,0.6502292337978444,0.04145327750838729
phy,30,0.2,Algo1,187318515757.6048,498490672.3695455,1.999506402015686,0.02990808114519896,0.9797844470936903,0.0022652376881122606,0.9697109993033285,0.0029706513638852396
phy,30,0.2,Det,182613979292.43378,3.0517578125e-05,1.7995412826538086,0.03811353636260852,0.9818331302412651,1.1102230246251565e-16,0.974599046194227,1.1102230246251565e-16
phy,30,0.2,Ours,191777358747.77826,3559396225.1697526,1.7922296524047852,0.03221636001431368,0.9363781011081661,0.0067918493192095615,0.8812875313957497,0.017336622739703732
phy,30,0.2,Ours1,177217741331.4691,91671179.08472471,0.5678181409835815,0.025949212375399735,0.9815407978051345,0.0037894996157641944,0.9748384705890846,0.006502889357890365
phy,30,0.2,Ours2,181697223832.62323,131395184.53618309,6.0932320833206175,0.09326498046152003,0.9771617917359123,0.0030792700012026793,0.9670415358156301,0.004923513347119846
phy,30,0.2,OPT,175331504632.89624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phy,40,0.2,kmeans++,177855542955.0947,6989187708.614773,0.19902465343475342,0.012311524822959562,0.8562517438367309,0.010602700886706446,0.6366398946231943,0.03572630793455709
phy,40,0.2,Algo1,130645724607.40703,159618383.31340256,1.9574331283569335,0.03354717416700833,0.982566787753586,0.0020489560305865335,0.9735584875800025,0.0038117557421955776
phy,40,0.2,Det,127324888603.3206,0.0,1.7051995515823364,0.03466986147538253,0.9814949352309712,1.1102230246251565e-16,0.9702315840946769,0.0
phy,40,0.2,Ours,140000516438.90793,3307040143.2095485,1.6994967460632324,0.018625958850907065,0.935251180113249,0.008931557325486214,0.8649577993911759,0.025126066031765423
phy,40,0.2,Ours1,120997606856.74358,93955086.44939871,0.3215981721878052,0.009150056811392726,0.9806337372066876,0.004260176405307532,0.9667480241156639,0.009114779343153726
phy,40,0.2,Ours2,126313822567.6271,156415620.74774054,7.149470949172974,0.1690927006544609,0.9807895823609275,0.003960955598659633,0.9711624396720134,0.007797882609272988
phy,40,0.2,OPT,119838993119.76216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phy,50,0.2,kmeans++,145620272389.91763,3941342995.8436775,0.2398097038269043,0.008290089522844222,0.8507442914130081,0.00800095563160561,0.6184752827883888,0.024471533814509654
phy,50,0.2,Algo1,113078480171.13724,374990635.1024621,2.0576606512069704,0.046996670013239816,0.9780641824462941,0.0024587456618653295,0.9653291004504105,0.005282621260475796
phy,50,0.2,Det,110606387350.76694,1.52587890625e-05,1.6979356765747071,0.026435785177854627,0.9753620195719342,1.1102230246251565e-16,0.9578990752838406,1.1102230246251565e-16
phy,50,0.2,Ours,120009915285.20425,4200672056.3447504,1.7003448724746704,0.03163089724382879,0.9312228169277269,0.007280259811673958,0.8494772093369347,0.0213084439749912
phy,50,0.2,Ours1,103757432754.38817,106743030.02858749,0.33282153606414794,0.01212898011873579,0.9783087709932765,0.0029013026539018755,0.9615028706785937,0.0060633528903159045
phy,50,0.2,Ours2,108887006489.6542,133687044.28437982,8.244940137863159,0.18055221031069804,0.9774339589328717,0.0011471578593279842,0.964583155804366,0.002356466602130327
phy,50,0.2,OPT,101609119078.88844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usps,10,0.2,kmeans++,531847.1972607662,13518.952269166577,0.0319155216217041,0.006248654646508681,0.5027318390118884,0.03745427403793786,0.38234908842768517,0.05768177911522285
usps,10,0.2,Algo1,359958.9826165737,155.52289817925373,1.551123809814453,0.050018714325551286,0.8820353738189807,0.0008662863825469517,0.8811707732322105,0.0011712343102521358
usps,10,0.2,Det,352461.39413165196,5.820766091346741e-11,1.8361228227615356,0.039708506182344616,0.8907527316768447,0.0,0.8937058689030482,1.1102230246251565e-16
usps,10,0.2,Ours,351634.0546408454,1344.1164020217225,1.8195064306259154,0.034093140387252134,0.8766821384415406,0.01023196024955868,0.8808098223686744,0.01163138412546709
