dataset,k,alpha,method,cost,cost_dev,time,time_dev,nmi,nmi_dev,ari,ari_dev
mnist,20,0.1,kmeans++,1566867.9,47398.215062278454,0.007343745231628418,0.0013379482531585332,0.6935504459673139,0.013723664416143547,0.4696220431866339,0.029632581632225107
mnist,20,0.1,Algo1,1000711.5703270731,1380.7452126782348,0.37369725704193113,0.8779148273379614,0.9626490261677597,0.0042300615036663155,0.9557145594923033,0.005254234621441097
mnist,20,0.1,Det,985464.9488687223,0.0,0.13239140510559083,0.23023857465877667,0.974957541130396,0.0,0.9726134919390971,0.0
mnist,20,0.1,Ours,985424.7533441397,389.56591391738124,0.08924460411071777,0.09630820523015178,0.9747104740738812,0.002662379417352625,0.9727072442039747,0.003311587998629142
mnist,20,0.1,Ours1,977593.5120430697,387.40622037533103,0.9174071788787842,2.6996717900013625,0.9789181693565432,0.005540160848206497,0.9739369237864658,0.007725301632365466
mnist,20,0.1,Ours2,985589.2129888439,285.119895276168,1.539287519454956,0.49555381869025455,0.9758358144158313,0.00259526411555775,0.9735000366890054,0.0028303248346984696
mnist,20,0.1,OPT,973005.2362891566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,20,0.2,kmeans++,1554603.7,27716.493465263604,0.006798934936523437,0.00045565366978903937,0.6901624885912556,0.018659153060050542,0.47889504364102214,0.031165104516667406
mnist,20,0.2,Algo1,1002576.2888735594,1897.7149234821775,0.08242671489715576,0.0014991068416461714,0.950448283208971,0.004518896056238018,0.9318907359110913,0.006786840944853085
mnist,20,0.2,Det,985693.1671996017,1.1641532182693481e-10,0.05694708824157715,0.0008246297668280466,0.9643537052401905,1.1102230246251565e-16,0.947627480135354,0.0
mnist,20,0.2,Ours,989827.2328659315,1802.9613516027323,0.058535528182983396,0.0006278234283460133,0.9590267829088408,0.003885946728311196,0.942044184243278,0.006562936586721657
mnist,20,0.2,Ours1,963164.9167098245,1277.56225995596,0.01723003387451172,0.0003686766022396473,0.9680873115361711,0.008170599726727944,0.9588282679547948,0.011450162943932132
mnist,20,0.2,Ours2,989876.5946715444,1258.227464006832,1.4201075315475464,0.019212482076549516,0.9566440761931144,0.0028526268249646704,0.9402617485094178,0.005288088708039776
mnist,20,0.2,OPT,951944.6397181798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,20,0.3,kmeans++,1530867.5,39409.249343904026,0.006667494773864746,0.0004964195131425425,0.7022118198540189,0.025777650640392377,0.5313505566360595,0.0509796051401996
mnist,20,0.3,Algo1,1063252.3557882553,3295.449955884749,0.08152475357055664,0.001338014319687626,0.9302295208581904,0.004970018450700841,0.9159740335448838,0.007307082864140155
mnist,20,0.3,Det,1035572.1597040526,1.1641532182693481e-10,0.05694458484649658,0.00068429197889031,0.941265047593064,1.1102230246251565e-16,0.9293296757923765,1.1102230246251565e-16
mnist,20,0.3,Ours,1046003.0093442776,4476.640315013103,0.058942651748657225,0.0011285998155546523,0.9306834526009424,0.005713869424949694,0.9144913465018556,0.009355156062060053
mnist,20,0.3,Ours1,984935.8030448457,3858.9570681476525,0.01754336357116699,0.00044028361808735726,0.9501336181665796,0.0071713258946840466,0.9417601194638486,0.008833123806028381
mnist,20,0.3,Ours2,1054985.395156134,1658.8964801261127,1.4289541244506836,0.022484571989570875,0.9330768856191873,0.004123733539396064,0.9191826042662736,0.005517540601385898
mnist,20,0.3,OPT,949462.2002191138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,20,0.4,kmeans++,1553675.0,27576.464338272228,0.006927108764648438,0.0005951747547435869,0.6880849457452631,0.022348505761306325,0.490166001944512,0.03486677364278118
mnist,20,0.4,Algo1,1187063.279594527,4592.731599357081,0.07932968139648437,0.0009395604060036729,0.8747042287916926,0.006524586027724048,0.8358115733432131,0.010799715853608827
mnist,20,0.4,Det,1135992.1240007267,0.0,0.05698473453521728,0.0003880573192869333,0.8853371937515464,0.0,0.8549413766668476,0.0
mnist,20,0.4,Ours,1157348.9110686271,5612.946584718289,0.0586376428604126,0.0006296750266752109,0.868124038665601,0.00923985141797139,0.8278174443766606,0.013614153009476295
mnist,20,0.4,Ours1,1080729.6321635966,9884.532555444137,0.017287445068359376,0.000534174501877545,0.8920037497834958,0.01066125507668554,0.8593455233510822,0.017788893320372055
mnist,20,0.4,Ours2,1171320.7620619382,4258.423407482765,1.445406436920166,0.012229350160198174,0.8773173691425933,0.007492016007390472,0.842150769555072,0.009319468446401354
mnist,20,0.4,OPT,974260.8865040389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,20,0.5,kmeans++,1546002.0,48334.589800680005,0.006584548950195312,0.0004751857796435875,0.7086722127707807,0.024347974441679535,0.5384364245316418,0.03911177040244414
mnist,20,0.5,Algo1,1281487.0260658646,6576.249819934349,0.08195810317993164,0.0008842806816305491,0.8816980241240128,0.0026883607764379308,0.8458335907089181,0.006006471013393706
mnist,20,0.5,Det,1218757.2920836206,0.0,0.057761001586914065,0.0009052713751737266,0.8766348923484235,1.1102230246251565e-16,0.8397585670869578,0.0
mnist,20,0.5,Ours,1240784.3223962006,6506.994156756894,0.05968730449676514,0.0005335765618787367,0.8612331582138951,0.013424127245623073,0.8160990220702413,0.020716049382738272
mnist,20,0.5,Ours1,1125796.18951296,10083.518948745372,0.0170947790145874,0.00027303145740692117,0.8779488193418749,0.011411475692258904,0.8316590975230674,0.021517724066476205
mnist,20,0.5,Ours2,1259916.141906205,9805.68445885338,1.4622512102127074,0.0146999504791523,0.873600255066451,0.009238095466273574,0.8314196360740702,0.013779997249346983
